vrem1,cena,cena2,cena3,cena4,vrem2,,,,,,0
1.64851E+12,47.23000000,47.72000000,47.08000000,47.40000000,1.64851E+12,,,,,,0
1.64851E+12,47.39000000,47.48000000,47.38000000,47.41000000,1.64851E+12,,,,,,0
1.64851E+12,47.41000000,47.46000000,47.28000000,47.46000000,1.64851E+12,,,,,,0
1.64851E+12,47.45000000,47.58000000,47.41000000,47.42000000,1.64851E+12,,,,,,0
1.64851E+12,47.43000000,47.51000000,47.37000000,47.48000000,1.64851E+12,,,,,,0
1.64851E+12,47.47000000,47.50000000,47.36000000,47.44000000,1.64851E+12,,,,,,0
1.64851E+12,47.44000000,47.71000000,47.44000000,47.51000000,1.64851E+12,,,,,,0
1.64851E+12,47.50000000,47.68000000,47.49000000,47.63000000,1.64851E+12,,,,,,0
1.64851E+12,47.62000000,48.00000000,47.62000000,47.92000000,1.64851E+12,,,,,,0
1.64851E+12,47.93000000,47.97000000,47.83000000,47.83000000,1.64851E+12,,,,,,0
1.64851E+12,47.84000000,47.94000000,47.80000000,47.87000000,1.64851E+12,,,,,,0
1.64851E+12,47.88000000,47.88000000,47.73000000,47.79000000,1.64851E+12,,,,,,0
1.64851E+12,47.81000000,47.89000000,47.78000000,47.79000000,1.64851E+12,,,,,,0
1.64851E+12,47.79000000,47.81000000,47.72000000,47.79000000,1.64851E+12,,,,,,0
1.64851E+12,47.79000000,47.84000000,47.68000000,47.84000000,1.64851E+12,,,,,,0
1.64851E+12,47.85000000,47.96000000,47.85000000,47.95000000,1.64851E+12,,,,,,0
1.64851E+12,47.95000000,47.95000000,47.80000000,47.86000000,1.64851E+12,,,,,,0
1.64851E+12,47.86000000,47.87000000,47.80000000,47.85000000,1.64851E+12,,,,,,0
1.64851E+12,47.85000000,47.94000000,47.83000000,47.92000000,1.64851E+12,,,,,,0
1.64851E+12,47.93000000,47.94000000,47.90000000,47.92000000,1.64851E+12,,,,,,0
1.64851E+12,47.92000000,48.02000000,47.90000000,48.02000000,1.64851E+12,,,,,,0
1.64851E+12,48.02000000,48.18000000,48.01000000,48.08000000,1.64851E+12,,,,,,0
